Timestamp,What marine recreation activities do you engage in?,What is your primary marine recreation activity?,How many years of experience do you have in this activity?,"On average, how often do you do this activity per month?","When you do this activity, how long does it typically last?","On average, how many people participate with you when you do this activity?",How long have you been a member of BCMT?,Why did you purchase a BCMT membership?,Have you ever volunteered with BCMT? ,"If Yes, for which activity or activities?",Have you ever used the map at bcmarinetrails.org to plan your marine recreation activities?,"If Yes, how often?",What is your primary reason for visiting bcmarinetrails.org?,"Do you use any mobile applications before, during, or after your marine recreation trips? If yes, please specify which apps and for what purpose?",Have you ever submitted a Site Condition Report (SCR) to BCMT?,How often have you submitted an SCR?,What is your gender?,Which age group do you fall in?,"85% of BCMT members live in British Columbia (BC), Canada. If you live in BC, which region are you located in? If you live outside of BC, please include your state or province location under ""Other"".","If you would like to be entered into our prize draw, please leave us an email where we can contact you at. "
1/19/2021 21:55:14,"Stand-up paddling (SUP), Kayaking, Surfing",Stand-up paddling (SUP),less than 1 year,1-2 times,1 day or less (day-trip),1-2,1 year or less,To support the organization in achieving its mandate,Yes,IT team,No,,Information about the organization's activities,,No,,Male,25-34 years old,Ontario,
1/19/2021 21:55:54,"Stand-up paddling (SUP), Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,Access to the marine trails map and to support the BCMT programs particularly creation of sites and cleanup work,No,,Yes,Often,To use the map,,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 21:56:07,"Stand-up paddling (SUP), Kayaking",Kayaking,5-8 years,1-2 times,2-3 days,1-2,2-3 years,"Access to maps, website resources, newsletter",No,,Yes,Sometimes,Map,"Total flow maps, tide tables",No,,Male,35-44 years old,Vancouver Island,
1/19/2021 21:56:22,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,More than 10 times,longer than 2 weeks,3-5,2-3 years,To support you making my future trips possible,No,,Yes,Sometimes,Look at the map!,Yes,No,,Male,55-64 years old,Washington,
1/19/2021 21:57:02,Rowing,Rowing,9+ years,6-10 times,1 day or less (day-trip),0 (solo),4-5 years,To support the effort and get information. I live too far away to regularly use it.,No,,Yes,Rarely,Inspiration,"Tide apps, marine traffic, weather ",No,,Male,55-64 years old,California,
1/19/2021 21:57:25,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Camp site maps,No,,Yes,Sometimes,Maps,Aquamap Tides Gaiagps - for navigation tides and current,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 21:57:25,"Stand-up paddling (SUP), Kayaking",Stand-up paddling (SUP),3-4 years,6-10 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,i was doing lots of kayaking back then ,No,,No,,to support them,,No,,Female,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 21:57:33,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To get more information on kayaking destinations,No,,Yes,Sometimes,Destinations ,GPS,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 21:58:14,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Camp site maps,No,,Yes,Sometimes,Maps,Aquamap Tides Gaiagps - for navigation tides and current,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 21:58:36,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),1-2,1 year or less,great cause! more info,No,,No,,want to support this idea,yes,No,,Female,65+ years old,Vancouver Island,
